2025-07-30T11:22:04.287Z - visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - 1366x768 - IP: 127.0.0.1 - Location: 
2025-08-08 13:26:48 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - 1366x768 - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:27:16 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:27:19 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:27:29 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:28:04 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:29:34 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:30:37 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:30:58 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:31:45 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 13:46:33 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 14:03:35 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 14:04:41 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 14:04:43 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 14:29:29 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 14:30:20 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 15:55:26 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 16:09:50 - Homepage Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 17:26:43 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 20:59:46 - Visit - Avast Antivirus - N/A - IP: 192.168.1.24 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:10:11 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:15:18 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:18:19 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:29:18 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:37:09 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:37:35 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 21:52:37 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-08 22:03:22 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 16:59:00 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 16:59:24 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:05:15 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:07:29 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:08:48 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:21:42 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:22:01 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:22:03 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:25:51 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:25:54 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:26:11 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:35:56 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:40:38 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 17:58:16 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 18:10:03 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 18:15:00 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 18:19:49 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 18:20:47 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 18:21:40 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-09 21:04:05 - Visit - Avast Antivirus - N/A - IP: 192.168.1.25 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-10 22:53:31 - Visit - Avast Antivirus - N/A - IP: 192.168.1.25 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 08:35:54 - Visit - Avast Antivirus - N/A - IP: 192.168.12.228 - Location: Unknown - Lat: N/A - Lon: N/A - ISP: N/A - Timezone: N/A
2025-08-11 08:52:14 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 08:54:40 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 08:57:08 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 12:33:26 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 12:47:57 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 12:51:02 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 12:51:47 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
2025-08-11 12:52:46 - Visit - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0 - N/A - IP: 127.0.0.1 - Location: , ,  - Lat:  - Lon:  - ISP:  - Timezone: 
